month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
5.0,2001.0,3,65000000.0,132.0,2980.0,16511391.0,56569702.0,202000.0,7.0,189.0,58.43,193,0.0,-0.07526876986202401,1.4201982653547178,-0.8578229903073789,0.06790103184441253,-0.663160045143946,-0.5051414786164004,0.04575945027706436
4.0,2005.0,3,30000000.0,107.0,2502.0,7576593.0,21845719.0,71000.0,6.6,155.0,42.4,193,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
3.0,2019.0,3,20000000.0,109.0,2442.0,27062332.0,73257045.0,51000.0,4.7,11.0,39.0,193,1.0,-0.4373419099751939,-0.750323928036031,-0.5788318762640089,-0.0924740768255684,-0.25308798135772387,-0.014436969383493467,0.27552049133702533
4.0,2003.0,4,36000000.0,109.0,2495.0,11200000.0,26736098.0,49000.0,6.0,163.0,15.91,193,0.0,-0.5590714235098588,0.7062104634911963,0.10854853081149458,0.3650666461382257,1.8962244560076709,-0.195482957844113,0.9959442028753638
6.0,2007.0,4,16000000.0,108.0,1355.0,3948863.0,9176787.0,28000.0,6.6,230.0,78.17,193,0.0,-0.23500866284648358,-0.406330415781885,0.801779154813926,3.7617544537336407,0.005921841661465008,1.2573647706334212,-1.2982532961530455
4.0,2003.0,3,6000000.0,92.0,770.0,2112140.0,17781006.0,30000.0,7.2,213.0,85.87,193,0.0,-0.3642904820931689,-0.5653979867250982,-0.6073902758083596,-0.598617320419142,-0.3174249003241181,-0.3087067666475155,-1.03859959742184
5.0,2014.0,4,40000000.0,116.0,3160.0,16797385.0,43139300.0,199000.0,6.1,255.0,34.85,193,0.0,-0.43011144446081256,-0.41160034615363694,-0.5605874122477265,-0.3369355201510523,-0.24696171521179555,-0.34113121058539947,-1.0845123217156556
12.0,2016.0,3,43000000.0,108.0,1523.0,30909.0,3740823.0,94000.0,7.4,304.0,84.68,170,0.0,1.9311223138066589,-0.4195681870461219,1.3277097533093474,0.018968245997324294,-0.9018397463693718,0.3283022853720981,1.044210721515164
12.0,2014.0,4,20000000.0,125.0,818.0,172788.0,5749134.0,78000.0,7.0,278.0,88.26,193,0.0,-0.5590714235098588,0.7062104634911963,0.10854853081149458,0.3650666461382257,1.8962244560076709,-0.195482957844113,0.9959442028753638
7.0,2014.0,4,15000000.0,122.0,801.0,2687227.0,17237855.0,80000.0,6.7,239.0,83.72,176,0.0,-0.46208536282114887,-0.5034951216371398,0.5546461335210443,0.12283334117559534,1.7183687134872168,-0.0724919543735926,0.7848414895851233
4.0,2010.0,4,35000000.0,95.0,3332.0,32902299.0,63075011.0,108000.0,5.2,209.0,16.51,193,0.0,-0.2715079064151104,-0.8504265084301659,1.7673888712612156,-0.3205712855776366,0.9111595566915985,0.06390538873825516,0.39384761285423125
8.0,2009.0,4,14000000.0,98.0,2159.0,5948555.0,15515460.0,76000.0,6.5,161.0,62.14,193,0.0,-0.37881477572225036,-0.4947648204265045,1.2464745522366911,0.21964654238867612,0.04278122102936938,-0.2370103044209647,0.9431501080815414
6.0,2006.0,3,10000000.0,105.0,767.0,4566293.0,20342852.0,24000.0,6.7,236.0,80.03,193,0.0,-0.5197373506622854,-1.1900899358002297,-1.0667421005312212,0.2431171722340333,-0.42240366079473557,-0.760616822830938,0.6500161409569778
4.0,2018.0,3,17000000.0,95.0,3808.0,50203562.0,188024361.0,585000.0,7.5,440.0,94.25,193,0.0,-0.386639571942743,-0.1418360943328572,1.1907758785732456,-0.27466513791523656,-1.1461562311339655,0.33205519141541134,0.5507688623433021
7.0,2006.0,4,20000000.0,100.0,263.0,391672.0,5501616.0,117000.0,7.0,221.0,68.75,193,0.0,0.6507891569690659,-0.7395832766418092,0.9074489137990108,-0.19708471266392596,1.9743708837461424,-0.45631400365156455,0.7257404959190391
12.0,2004.0,2,140000000.0,108.0,3623.0,30061756.0,118634549.0,221000.0,6.8,37.0,62.0,110,0.0,1.8976624658769479,-0.2604510027739813,-0.32430821674508903,-0.5018702539263332,-0.292079530862768,-0.10440194332807931,-0.4353449433951918
10.0,2009.0,4,7000000.0,106.0,262.0,251337.0,9228788.0,150000.0,7.0,262.0,88.85,193,0.0,-0.4373419099751939,-0.750323928036031,-0.5788318762640089,-0.0924740768255684,-0.25308798135772387,-0.014436969383493467,0.27552049133702533
9.0,2018.0,4,20000000.0,117.0,3102.0,16011689.0,53548586.0,163000.0,6.8,298.0,81.66,193,0.0,-0.3331216942362641,-0.5812022458397866,0.7738338898823723,-0.7823696054691252,1.8854556635250457,-0.6569829120259945,-0.825228053720929
12.0,2009.0,4,7000000.0,100.0,354.0,217332.0,9176000.0,118000.0,7.5,233.0,84.65,193,0.0,-0.5988135490569293,-0.7200881450580418,0.23692401732703597,0.10786353224174729,1.5087623100427796,-0.47889082015389345,1.0572772442202114
9.0,2005.0,3,80000000.0,110.0,816.0,917398.0,1900451.0,21000.0,4.2,125.0,9.74,193,0.0,0.12681576466452732,1.9469939188476706,0.7157104958557109,-0.4031704769966788,-1.2041197277799878,-0.007005536677000118,-0.2659843150103308
10.0,2018.0,4,36000000.0,136.0,3904.0,42908051.0,215288866.0,420000.0,7.6,598.0,89.8,193,0.0,-0.5286472525111281,-0.8571170602831886,-0.4912530934067624,0.2408459997885348,-0.620282779050372,-0.3197590223886188,0.9364989372700372
3.0,2012.0,3,40000000.0,91.0,1895.0,6176280.0,18450127.0,45000.0,5.8,76.0,6.16,193,0.0,-0.14278749334050267,-0.7619509840647618,-0.48480112113136375,-0.06869422461758055,-0.39304278170872176,-0.1445041536695323,0.40870918634459036
11.0,2011.0,4,19000000.0,90.0,2875.0,12954142.0,35061031.0,73000.0,6.2,158.0,66.72,193,1.0,0.17309948732078645,0.12880050001616053,-0.6077996562719942,-0.463212720869641,-0.48890722052420044,-0.2305066940053845,-0.7523353993068481
