month,year,mpaa,budget,runtime,screens,domestic_box_office,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
4.0,2009.0,3,40000000.0,102.0,3255.0,64167069.0,175.0,55.61,193,0.0,-0.26624102245963477,-0.8452664131985052,-0.9879082540076675,-0.6567832770540272,-0.6354331238871803,0.7308784735736794,0.9520211205431465,-0.6010746368457529
6.0,2003.0,3,76000000.0,107.0,3418.0,127154901.0,197.0,37.18,193,0.0,-0.5847346929821821,0.9113101943097043,0.25022658734098996,-0.18459609582527772,1.8905617653103883,-0.3313321638649005,-0.4927726482170641,-0.1048075823499191
8.0,2013.0,4,61000000.0,109.0,3028.0,75612460.0,232.0,62.33,193,0.0,-0.5651557346777085,0.7089363693908787,-0.351791894179314,-0.2934795612076984,0.2579948152549248,-0.6184829612913835,-0.6758153018887136,-0.5103288127443979
11.0,2009.0,3,200000000.0,158.0,3444.0,166112167.0,280.0,40.21,193,0.0,-0.08415052239471552,2.0970500816607913,-0.40479441787887915,-0.07705138318536368,-0.5869105239042403,-0.0033037115886199574,-0.2465117591667551,-0.06097170919888637
12.0,2016.0,4,7000000.0,119.0,650.0,5664764.0,270.0,87.26,193,0.0,-0.3825365461395246,-0.7638121387038643,-0.6440369902305618,-0.10410230752436647,-0.29419012244381904,-0.012114008458526017,0.4113254775364668,-0.2432174659908712
3.0,2008.0,3,35000000.0,123.0,2952.0,81159365.0,200.0,37.74,193,0.0,-0.41879143500081656,-0.4946997872034028,0.5960876677501724,0.02745556008544072,1.7017516904475873,-0.03198755036409788,0.8113144985730936,0.1101269051526987
3.0,2013.0,4,13000000.0,93.0,2771.0,25682380.0,21.0,34.0,193,0.0,-0.3906736835564234,-0.5250492245996341,-0.6017126935201269,-0.5146566087826036,-0.33975222293822355,-0.17890922294700293,-1.0035188988426786,-0.38910428511939066
11.0,2019.0,4,33000000.0,103.0,2665.0,28539757.0,172.0,53.44,193,0.0,0.08717889666804284,1.0750213587514676,0.7420777384356995,0.3151596977044485,1.8282873658522343,-0.41960825242139405,1.3216898602057847,-0.07765126746587284
11.0,2003.0,4,20000000.0,124.0,411.0,16290476.0,221.0,78.96,193,0.0,-0.41879143500081656,-0.4946997872034028,0.5960876677501724,0.02745556008544072,1.7017516904475873,-0.03198755036409788,0.8113144985730936,0.1101269051526987
3.0,2012.0,4,42000000.0,109.0,3148.0,138447667.0,270.0,82.57,193,0.0,-0.5083689959916876,0.402665276730225,-1.0245617235685367,-0.4618368397617929,1.643871515204039,-0.33669214924595725,-0.9557321707375348,-0.4744785195301594
6.0,2014.0,4,50000000.0,112.0,3426.0,191719337.0,268.0,81.77,193,0.0,-0.5083689959916876,0.402665276730225,-1.0245617235685367,-0.4618368397617929,1.643871515204039,-0.33669214924595725,-0.9557321707375348,-0.4744785195301594
12.0,2002.0,4,5000000.0,135.0,495.0,13084595.0,215.0,77.14,193,0.0,-0.44222631257320083,-0.32190574770602143,-0.0073548557814652245,0.15046403418476217,-0.4108747351734127,0.30027031625458545,0.6573386326919602,0.17863033044027837
1.0,2008.0,3,30000000.0,111.0,3074.0,76808654.0,186.0,42.0,193,0.0,-0.4995425510622917,-0.6985250209111653,-0.8986634071196087,-0.5397404173067798,-0.5555219015318666,-0.5910005492236149,-0.6636680700867218,-0.3514950143221018
