month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
3.0,2006.0,3,45000000.0,105.0,2706.0,11855260.0,36895141.0,135000.0,6.6,195.0,56.39,193,0.0,-0.5984157012798588,0.7170578909471711,-0.1557718163159929,0.3074518752345866,0.1861023963539203,0.8780771526054443,-0.2791251760117903,0.4638579378770076
4.0,2009.0,3,40000000.0,102.0,3255.0,23722310.0,64167069.0,217000.0,6.4,175.0,55.61,193,0.0,-0.23551315108760373,-0.8684825828826308,-0.7967714718732232,-0.6604693661538235,-0.5652040870043237,-0.5641032721898938,0.7429688157715649,0.9781883563995161
6.0,2003.0,3,76000000.0,107.0,3418.0,50472480.0,127154901.0,298000.0,5.9,197.0,37.18,193,0.0,-0.6175578884991888,0.9371220757220349,0.060580669130626326,1.8217997552373093,-0.19608076739024638,0.28316550072353525,-0.31750640026496196,-0.21524424948745938
8.0,2013.0,4,61000000.0,109.0,3028.0,27059130.0,75612460.0,226000.0,6.7,232.0,62.33,193,0.0,-0.7135227169304312,0.8930212667979979,-0.21680099923552468,0.4274411995895472,-0.11458692024521179,-1.310446359379623,-0.48447487694826274,0.3771506655338904
11.0,2009.0,3,200000000.0,158.0,3444.0,65237614.0,166112167.0,398000.0,5.8,280.0,40.21,193,0.0,-0.15008020827713434,2.038427023953939,-0.501279522367909,-0.6767738400361617,-0.12977432766792235,0.4776305500840139,-0.01278696912162798,-0.23288975974227058
12.0,2016.0,4,7000000.0,119.0,650.0,111200.0,5664764.0,49000.0,7.3,270.0,87.26,193,0.0,-0.37072156364259323,-0.7485427982436414,-0.5200222372382547,-0.2328202940526024,-0.11360431115911661,-0.6706246477109242,0.02770134476739469,0.3326871770380918
3.0,2008.0,3,35000000.0,123.0,2952.0,24105943.0,81159365.0,267000.0,6.8,200.0,37.74,193,0.0,-0.3032643067169867,-0.6822725715362818,0.25947541846301425,1.6587051309674212,-0.14725250383081487,0.9299573385611944,-0.15992875394811334,0.10445846352736339
3.0,2013.0,4,13000000.0,93.0,2771.0,8754168.0,25682380.0,77000.0,5.8,21.0,34.0,193,0.0,-0.43649119436715866,-0.3249510170689486,-0.2361418912215018,-0.28794764425863056,-0.35188516709641005,-1.2069157026160422,-0.008934367553164574,-0.29902885984628935
11.0,2019.0,4,33000000.0,103.0,2665.0,9261268.0,28539757.0,75000.0,6.6,172.0,53.44,193,0.0,0.08430125052837556,0.9039736993070014,0.17929736459773038,1.8277153572261584,0.13020242151707173,0.9874030055671713,-0.5905988824752002,0.768972847285595
11.0,2003.0,4,20000000.0,124.0,411.0,274454.0,16290476.0,246000.0,7.6,221.0,78.96,193,0.0,-0.3032643067169867,-0.6822725715362818,0.25947541846301425,1.6587051309674212,-0.14725250383081487,0.9299573385611944,-0.15992875394811334,0.10445846352736339
3.0,2012.0,4,42000000.0,109.0,3148.0,36302612.0,138447667.0,599000.0,7.2,270.0,82.57,193,0.0,-0.6383877019195598,0.6673242526148462,-0.7864448471407763,1.4997495604260367,-0.30633488252542146,-1.3760370825253745,-0.13162181348206653,-0.03440168645681694
6.0,2014.0,4,50000000.0,112.0,3426.0,57071445.0,191719337.0,407000.0,7.0,268.0,81.77,193,0.0,-0.6383877019195598,0.6673242526148462,-0.7864448471407763,1.4997495604260367,-0.30633488252542146,-1.3760370825253745,-0.13162181348206653,-0.03440168645681694
12.0,2002.0,4,5000000.0,135.0,495.0,108865.0,13084595.0,185000.0,7.6,215.0,77.14,193,0.0,-0.3213841787165863,-0.5009143929197752,-0.17511270830196995,-0.40793696861359113,-0.051195850497277894,0.9816078093690247,0.19641533338330788,-0.21232158750317195
1.0,2008.0,3,30000000.0,111.0,3074.0,23007725.0,76808654.0,175000.0,6.1,186.0,42.0,193,0.0,-0.497265412084802,-0.5929166423297734,-0.5588210400040513,-0.5962198067415915,-0.38443616527988833,-1.033813880721741,-0.4706488671739173,0.006945651931885949
4.0,2000.0,3,43000000.0,104.0,2523.0,10310672.0,37035515.0,54000.0,6.1,112.0,36.02,193,0.0,-0.37072156364259323,-0.7485427982436414,-0.5200222372382547,-0.2328202940526024,-0.11360431115911661,-0.6706246477109242,0.02770134476739469,0.3326871770380918
5.0,2007.0,4,15000000.0,100.0,2305.0,9807292.0,28638916.0,294000.0,6.9,233.0,72.88,168,0.0,-0.47875070825691524,0.33305881621365124,1.666240018037101,-1.2241853788239867,-0.5694046896069441,-0.0880731536281842,0.31061693301485244,-0.5227077625682938
2.0,2014.0,3,28000000.0,117.0,2872.0,12242218.0,30697999.0,98000.0,6.2,151.0,30.38,104,0.0,-0.5984157012798588,0.7170578909471711,-0.1557718163159929,0.3074518752345866,0.1861023963539203,0.8780771526054443,-0.2791251760117903,0.4638579378770076
3.0,2000.0,4,4000000.0,82.0,678.0,3684704.0,9821335.0,37000.0,4.7,45.0,3.91,193,0.0,-0.43649119436715866,-0.3249510170689486,-0.2361418912215018,-0.28794764425863056,-0.35188516709641005,-1.2069157026160422,-0.008934367553164574,-0.29902885984628935
10.0,2007.0,4,30000000.0,113.0,2859.0,15951902.0,39569000.0,190000.0,6.6,187.0,51.31,193,0.0,-0.7036897308845755,1.168967929486498,1.6542080746098762,-0.28139192976890987,-0.2020927805924964,-0.17377511644108587,-0.21443223564224492,0.02594283902000338
8.0,2011.0,4,28000000.0,83.0,2888.0,13330118.0,37053924.0,107000.0,6.1,202.0,45.73,193,0.0,-0.6383877019195598,0.6673242526148462,-0.7864448471407763,1.4997495604260367,-0.30633488252542146,-1.3760370825253745,-0.13162181348206653,-0.03440168645681694
2.0,2001.0,4,62000000.0,125.0,2545.0,7160521.0,15749959.0,49000.0,6.0,126.0,16.43,193,0.0,-0.6668952734251957,0.6894936703981688,-0.2843288598056585,1.996916429798298,-0.2584892280520851,-1.369066956356414,-0.48622038888087515,0.32976451505380444
3.0,2014.0,4,110000000.0,102.0,3490.0,45038460.0,106580051.0,316000.0,6.2,233.0,45.44,193,0.0,-0.5699081297742229,0.6948884731638486,-0.6578878036511109,-0.18971499413767462,0.138256741880584,0.8711070264364835,0.0754733993870184,0.09969173636638626
9.0,2007.0,4,55000000.0,122.0,3006.0,14035033.0,53606916.0,331000.0,7.6,265.0,87.18,193,0.0,-0.5009867521799543,0.4065044805266876,-0.8503251918896096,1.443298769760213,0.23961662266183448,0.8161581690368106,-0.13674935037503788,0.19492593042127682
3.0,2002.0,4,17000000.0,96.0,2399.0,12229529.0,37950822.0,76000.0,5.6,170.0,41.72,103,0.0,-0.497265412084802,-0.5929166423297734,-0.5588210400040513,-0.5962198067415915,-0.38443616527988833,-1.033813880721741,-0.4706488671739173,0.006945651931885949
4.0,2013.0,3,40000000.0,128.0,3405.0,27487144.0,95020213.0,103000.0,7.5,233.0,77.74,193,0.0,-0.5104969653028515,-0.34892136098763327,-0.2504295588270334,-0.2779143876825969,-0.19301677321395164,0.7929687338904211,2.9710101696044626,0.041665310611876914
6.0,2017.0,3,5300000.0,89.0,2471.0,11205562.0,44307193.0,61000.0,5.6,182.0,52.87,193,0.0,-0.3567663236812064,-0.1742751308587639,2.6982251115896276,-0.3442987619764461,-0.40380648855237017,-0.05597115607335405,-0.30208518072666646,-0.10517504194472325
