movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Jeepers Creepers 2,8,2003,29,36,127,24,156,26.23
Jem and the Holograms,10,2015,16,42,78,22,94,25.40
Jennifer's Body,9,2009,29,47,215,46,244,46.12
Jersey Boys,6,2014,44,54,224,51,268,51.49
Jersey Girl,3,2004,35,43,176,43,211,43.00
Jesus Revolution,2,2023,7,46,57,54,64,53.12
Jexi,10,2019,11,39,33,21,44,25.50
Jigsaw,10,2017,18,39,89,33,107,34.01
Jimmy Neutron: Boy Genius,12,2001,21,65,76,74,97,72.05
Jobs,8,2013,35,44,132,27,167,30.56
Joe Dirt,4,2001,26,20,76,9,102,11.80
Joe Somebody,12,2001,21,42,86,21,107,25.12
John Carter,3,2012,43,51,239,52,282,51.85
John Q,2,2002,33,30,135,26,168,26.79
John Tucker Must Die,7,2006,27,41,94,28,121,30.90
John Wick,10,2014,39,68,225,86,264,83.34
John Wick: Chapter 3 - Parabellum,5,2019,50,73,,,50,73.00
John Wick: Chapter 4,3,2023,58,78,374,94,432,91.85
Johnny English,7,2003,32,51,122,33,154,36.74
Johnny English Reborn,10,2011,20,46,92,38,112,39.43
Johnny English Strikes Again,10,2018,22,39,106,37,128,37.34
Johnson Family Vacation,4,2004,24,29,89,6,113,10.88
Jojo Rabbit,10,2019,57,58,428,80,485,77.41
Joker,8,2012,,,6,0,6,0.00
Jonah Hex,6,2010,32,33,155,12,187,15.59
Jonah: A VeggieTales Movie,10,2002,20,58,56,66,76,63.89
Josie and the Pussycats,4,2001,29,47,125,53,154,51.87
Journey 2: The Mysterious Island,2,2012,27,41,133,45,160,44.33
Journey from the Fall,3,2007,,,,,0,0
Journey to Bethlehem,11,2023,,,24,75,24,75.00
Journey to the Center of the Earth,7,2008,35,57,161,60,196,59.46
Joy,12,2015,48,56,274,61,322,60.25
Joy Ride,7,2023,44,74,213,90,257,87.26
Joyful Noise,1,2012,31,44,129,32,160,34.33
Judy Moody and the Not Bummer Summer,6,2011,23,37,,,23,37.00
Julie & Julia,8,2009,34,66,,,34,66.00
"Juliet, Naked",8,2018,33,67,170,82,203,79.56
Jumanji: The Next Level,12,2019,37,58,248,72,285,70.18
Jumanji: Welcome to the Jungle,12,2017,44,58,238,76,282,73.19
Jumper,2,2008,36,35,172,15,208,18.46
Jumping the Broom,5,2011,26,56,84,57,110,56.76
Juno,12,2007,38,81,217,94,255,92.06
Jupiter Ascending,2,2015,40,40,275,28,315,29.52
Jurassic Park,9,2018,,,,,0,0
Jurassic Park III,7,2001,30,42,188,49,218,48.04
Jurassic World,6,2015,49,59,360,71,409,69.56
Jurassic World: Fallen Kingdom,6,2018,59,51,432,47,491,47.48
Just Getting Started,12,2017,10,21,23,4,33,9.15
Just Go with It,2,2011,31,33,,,31,33.00
Just Like Heaven,9,2005,31,47,151,54,182,52.81
Just Married,1,2003,27,28,106,20,133,21.62
Just My Luck,5,2006,26,29,111,14,137,16.85
Just Visiting,4,2001,25,38,79,33,104,34.20
Just Wright,5,2010,26,51,112,47,138,47.75
Justice League,11,2017,52,45,,,52,45.00
Justin Bieber's Believe,12,2013,10,39,15,53,25,47.40
Justin Bieber: Never Say Never,2,2011,22,52,108,66,130,63.63
Juwanna Mann,6,2002,25,24,84,10,109,13.21
K-19: The Widowmaker,7,2002,35,58,170,60,205,59.66
K-PAX,10,2001,31,49,141,42,172,43.26
Kangaroo Jack,1,2003,25,16,115,9,140,10.25
Keane,9,2005,,,,,0,0
Keanu,4,2016,35,63,182,78,217,75.58
Keeping Up with the Joneses,10,2016,31,34,,,31,34.00
Keeping the Faith,4,2000,31,60,117,69,148,67.11
Kevin Hart: Laugh at My Pain,9,2011,,,7,71,7,71.00
Kevin Hart: Let Me Explain,7,2013,18,53,44,61,62,58.68
Kevin Hart: What Now?,10,2016,22,60,58,76,80,71.60
Kick-Ass,4,2010,38,66,268,77,306,75.63
Kick-Ass 2,8,2013,35,41,211,32,246,33.28
Kicking & Screaming,5,2005,33,45,142,41,175,41.75
Kidnap,8,2017,26,44,94,35,120,36.95
Kill Bill: Vol. 1,10,2003,43,69,238,85,281,82.55
Kill Bill: Vol. 2,4,2004,41,83,246,84,287,83.86
Kill the Messenger,10,2014,36,60,133,77,169,73.38
Killer Elite,9,2011,29,44,127,28,156,30.97
Killers,6,2010,22,21,110,10,132,11.83
Killers of the Flower Moon,10,2023,63,89,465,93,528,92.52
Killing Them Softly,11,2012,42,64,233,74,275,72.47
Kin,8,2018,20,35,96,35,116,35.00
King Arthur,7,2004,41,46,189,31,230,33.67
King Arthur: Legend of the Sword,5,2017,45,41,277,31,322,32.40
King Kong,12,2005,39,81,268,84,307,83.62
Kingdom Come,4,2001,26,48,66,27,92,32.93
Kingdom of Heaven,5,2005,40,63,189,40,229,44.02
Kingsman: The Golden Circle,9,2017,44,44,308,51,352,50.12
Kingsman: The Secret Service,2,2015,,,,,0,0
Kinsey,11,2004,40,79,197,90,237,88.14
Kiss Kiss Bang Bang,10,2005,37,73,,,37,73.00
Kiss of the Dragon,7,2001,26,58,109,52,135,53.16
Kissing Jessica Stein,3,2002,23,72,,,23,72.00
Kit Kittredge: An American Girl,6,2008,27,63,106,80,133,76.55
Knight and Day,6,2010,38,46,234,52,272,51.16
Knights of the Zodiac,5,2023,8,35,24,21,32,24.50
Knives Out,11,2019,52,82,472,97,524,95.51
Knock Knock,10,2015,22,53,76,37,98,40.59
Knock at the Cabin,2,2023,60,63,334,67,394,66.39
Knockaround Guys,10,2002,,,,,0,0
Knocked Up,6,2007,38,85,253,89,291,88.48
Knowing,3,2009,27,41,185,35,212,35.76
Kong: Skull Island,3,2017,50,62,395,75,445,73.54
Krampus,12,2015,21,49,131,66,152,63.65
Kubo and the Two Strings,8,2016,38,84,228,97,266,95.14
Kung Fu Hustle,4,2005,,,,,0,0
Kung Fu Panda,6,2008,36,74,193,87,229,84.96
Kung Fu Panda 2,5,2011,34,67,188,81,222,78.86
Kung Fu Panda 3,1,2016,34,66,180,86,214,82.82
Kung Fu Panda 4,3,2024,33,54,151,72,184,68.77
Kung Pow: Enter the Fist,1,2002,14,14,54,13,68,13.21
LOL,5,2012,27,49,7,14,34,41.79
La La Land,12,2016,54,94,471,91,525,91.31
La Vie En Rose,6,2007,29,66,,,29,66.00
Labor Day,1,2014,44,75,,,44,75.00
Ladder 49,10,2004,32,47,163,41,195,41.98
Lady Bird,11,2017,52,93,400,99,452,98.31
Lady Macbeth,7,2017,52,93,,,52,93.00
Lady in the Water,7,2006,36,36,212,25,248,26.60
Lakeview Terrace,9,2008,29,47,166,45,195,45.30
Land of the Dead,6,2005,30,71,180,74,210,73.57
Land of the Lost,6,2009,32,32,193,26,225,26.85
Lara Croft: Tomb Raider,6,2001,31,33,163,20,194,22.08
Lara Croft: Tomb Raider - The Cradle of Life,7,2003,34,43,,,34,43.00
Larry Crowne,7,2011,41,41,201,37,242,37.68
Larry the Cable Guy: Health Inspector,3,2006,14,21,39,5,53,9.23
Lars and the Real Girl,10,2007,32,70,140,81,172,78.95
Last Christmas,11,2019,40,50,212,46,252,46.63
Last Holiday,1,2006,27,52,123,55,150,54.46
