movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Låt den rätte komma in,11,2008,4500000,110,R,4,49295,2122085,10125597,12247682,Sweden
Citizen of a Kind,1,2024,,114,,,,,12223883,12223883,Republic of Korea
Abandon,,2002,25000000,99,PG-13,2341,5064077,10719367,1500000,12219367,
El Secreto de Marrowbone,10,2017,,110,R,7,624,1377,12211460,12212837,Spain
Earth: One Amazing Day,8,2017,,95,G,70,45480,81345,12116508,12197853,United Kingdom
No One’s Life Is Easy: So I Married an Anti-Fan,6,2016,,90,Not,,,89408,12104668,12194076,"China, Republic of Korea"
Gold,2,2017,,121,R,2166,3471316,7227038,4951070,12178108,United States
Island of Lemurs: Madagascar,6,2014,,39,G,37,188307,11750928,419850,12170778,United States
Nativity 2: Danger in the Manger!,11,2012,,,,,,,12156419,12156419,United Kingdom
Babies,,2010,,79,PG,534,2161460,7320323,4826496,12146819,France
The Shift,12,2023,,115,PG-13,2450,4300165,12118219,20965,12139184,United States
Le Coeur des hommes 2,,2007,,,,,,,12130156,12130156,France
Apollo 11,6,2019,,93,"G
(Rating",120,1607040,9040224,3085771,12125995,United States
Chihayafuru Kaminoku,3,2016,,111,,,,,12116649,12116649,Japan
Mongtajoo,5,2013,,120,,,,,12116647,12116647,Republic of Korea
Crystal Sky Of Yesterday,7,2018,,82,,,,,12104346,12104346,China
Dave Chappelle's Block Party,,2006,3000000,103,R,1200,6214723,11718595,333329,12051924,United States
Stoker,2,2013,12000000,100,R,7,160547,1703125,10331788,12034913,"United Kingdom, United States"
"McDull, Kung Fu Kindergarten",7,2009,,81,,,,,12031621,12031621,"Hong Kong, Japan"
How to Lose Friends & Alienate People,,2008,28000000,105,R,1750,1430294,2775593,9255850,12031443,United Kingdom
Girl Cops,5,2019,,107,Not,2,15073,103935,11926861,12030796,Republic of Korea
Harry Brown,,2010,7300000,103,R,19,173353,1818681,10204925,12023606,United Kingdom
Yi Nian Tian Tang,12,2015,,102,,,,,12020000,12020000,China
Cape No. 7,,2008,,,,,,,12000000,12000000,"Taiwan, Province of China"
De Dana Dan,,2009,,,Not,69,577381,944979,11053270,11998249,India
Warum Männer nicht zuhören und Frauen schlecht einparken,,2007,,,,,,,11996501,11996501,Germany
Mary Magdalene,3,2018,,120,R,62,46646,124958,11870042,11995000,"Australia, United Kingdom, United States"
"4 luni, 3 saptamani si 2 zile",,2008,900000,113,Not,6,30350,1196321,10796835,11993156,Romania
Sluzhebnyy roman. Nashye vryemya,,2011,,,,,,,11990788,11990788,Russian Federation
Rudo y Cursi,,2009,,103,R,70,211460,1827660,10160264,11987924,Mexico
Outrage Coda,10,2017,,104,,,,,11983269,11983269,Japan
Jiang hu er nv,9,2018,,141,Not,,,414578,11564879,11979457,"China, France"
Carrossel 2: O Sumiço de Maria Joaquina,7,2016,,,,,,,11972853,11972853,Brazil
City Hunter: Shinjuku Private Eyes,2,2019,,95,,,,,11960955,11960955,Japan
Jûni-nin no shinitai kodomo-tachi,1,2019,,117,,,,,11950916,11950916,Japan
Mirreyes contra Godinez,1,2019,,109,,,,,11949192,11949192,Mexico
Diana,9,2013,,113,PG-13,,,335360,11611623,11946983,"France, Sweden, United Kingdom"
La French,12,2014,,136,R,2,10335,190980,11753086,11944066,France
Changgwol,10,2018,,127,Not,2,18326,167937,11769738,11937675,Republic of Korea
End of the Spear,,2006,10000000,111,PG-13,1162,4281388,11748661,175380,11924041,
Portrait de la jeune fille en feu,8,2019,5400000,119,R,2,67344,3759854,8157289,11917143,France
Duong Gia Tuong,4,2013,,102,,,,,11906509,11906509,"China, Hong Kong"
Viceroy’s House,3,2017,,90,Not,4,48134,1105717,10800074,11905791,"India, United Kingdom"
Xiao men shen,1,2016,,103,,,,,11902156,11902156,China
Katyn,,2009,,,Not,,,118095,11764195,11882290,Poland
Sungnan Hwangso,11,2018,,115,Not,22,42133,101417,11770583,11872000,Republic of Korea
Win Win,,2011,5000000,106,R,5,150362,10179275,1689788,11869063,United States
Boy Erased,11,2018,11000000,114,R,5,207057,6788692,5073958,11862650,United States
Kal Ho Naa Ho,,2003,,166,Not,52,758211,1956478,9905557,11862035,India
Action Replayy,,2010,,,Not,,,410262,11446966,11857228,India
Maudie,4,2017,,117,PG-13,4,45920,6170998,5679577,11850575,"Canada, Ireland"
A Hologram for the King,4,2016,35000000,97,R,401,1138578,4212494,7633516,11846010,United States
Narc,,2002,7500000,105,R,6,63303,10465659,1377601,11843260,United States
Quan zhi gao shou zhi dian feng rong yao,8,2019,,98,,,,,11840495,11840495,China
Don't Move,11,2004,,,Not,1,11075,103280,11734323,11837603,"Italy, Spain, United Kingdom"
"Ni Hao, Zhi Hua",11,2018,,115,Not,18,80485,179721,11648683,11828404,China
Conviction,10,2012,12500000,96,R,11,102351,6797696,5029284,11826980,United States
Getaway,11,2013,18000000,89,PG-13,2130,4503892,10501938,1312051,11813989,"Bulgaria, United States"
Fisherman's Friends,3,2019,,112,PG-13,,,,11800370,11800370,United Kingdom
The Rules of Attraction,3,2003,4000000,110,R,1437,2532410,6525762,5273298,11799060,United States
The Belko Experiment,4,2017,5000000,88,R,1341,4137230,10166820,1626122,11792942,United States
Saekjeuk shigong 2,,2007,,,,,,,11780198,11780198,Republic of Korea
The Longshots,,2008,23000000,95,PG,2089,4080687,11511323,267073,11778396,United States
Kureyon Shinchan: Arashi o Yobu: Utau Ketsudake Bakudan!,,2006,,,,,,,11777171,11777171,Japan
Seeking a Friend for the End of the World,7,2012,10000000,101,R,1625,3822803,7078738,4688221,11766959,United States
Shopgirl,,2005,7500000,104,R,8,229685,10284523,1473895,11758418,United States
Myûjiamu,11,2016,,132,,,,,11757642,11757642,Japan
Ryûzô to 7 nin no kobun tachi,4,2015,,125,,,,,11757243,11757243,Japan
After Death,1,2024,,103,PG-13,2645,5051950,11478326,271680,11750006,United States
A Casa Tutti Bene,2,2018,,,,,,,11746742,11746742,Italy
Layer Cake,,2005,6500000,,R,10,81706,2339957,9405974,11745931,United Kingdom
Ca$h,,2008,13700000,100,,,,,11738256,11738256,France
Quills,,2000,13500000,,R,9,249383,7060876,4671212,11732088,United States
Dhoom 3,12,2013,24000000,150,Not,,,8031955,3691665,11723620,India
Dunki,12,2023,,160,,551,2714469,7460159,4256872,11717031,India
The Visit,9,2015,,107,Not,1,5517,186444,11529548,11715992,United States
The Son's Room,,2002,,,R,1,4887,1014416,10700000,11714416,
What the #$'! Do We Know,4,2005,4000000,,Not,,,10941801,762967,11704768,
Tik Tok,7,2016,,,,,,,11702016,11702016,"China, Republic of Korea"
Nae sarang nae gyeotae,,2009,,,,,,,11701551,11701551,Republic of Korea
C'est Si Bon,2,2015,,118,Not,,,164167,11537018,11701185,Republic of Korea
Beauty and the Beast,2,2010,,90,R,,,,11700000,11700000,"Australia, Canada"
Çakallarla Dans 5,11,2018,,102,,,,,11687785,11687785,Turkey
Smart People,,2008,,95,R,1106,4092465,9511289,2144330,11655619,United States
Good Newwz,12,2019,,134,Not,,,,11645364,11645364,India
What a Man,,2012,,94,R,,,,11639918,11639918,Germany
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,9,2019,,90,Not,,,,11638294,11638294,Japan
Bokudake ga inai machi,3,2016,,120,,,,,11636849,11636849,Japan
Khatta Meetha,,2010,,,Not,83,309211,541904,11093357,11635261,India
Dum Maaro Dum,,2011,5200000,130,R,101,327523,564489,11068938,11633427,India
"Fala Sério, Mãe!",12,2017,,79,,,,,11616161,11616161,Brazil
The Last Kiss,,2006,,104,R,1357,4627989,11614790,,,United States
Taare Zameen Par,,2007,,165,PG,,,1223869,10389309,11613178,India
Faubourg 36,,2009,,,Not,7,44690,850575,10760000,11610575,"Czech Republic, France, Germany"
Bogowie,10,2014,,120,,,,,11603941,11603941,Poland
Wara No Tate,4,2013,,125,,,,,11601232,11601232,Japan
Banlieue 13,,2006,15000000,84,R,151,411544,1200216,10399687,11599903,
Uta no Prince-sama - Maji Love Kingdom Movie,6,2019,,84,,,,,11597863,11597863,Japan
Wu Lin Guai Shou,12,2018,,104,,,,,11573104,11573104,"China, Hong Kong"
Iron Sky,4,2012,,92,R,,,122082,11443710,11565792,"Australia, Finland, Germany"
The Order,2,2004,35000000,102,R,1975,4438899,7659747,3900000,11559747,"Germany, United States"
Cyberworld 3D,6,2001,,44,Not,21,278199,11243857,315393,11559250,United States
The Legend of Drunken Master,,2000,10000000,102,R,1342,3845278,11546543,,,Hong Kong
The Cookout,,2004,16000000,97,PG-13,1303,5000900,11540112,,,
Tsotsi,,2006,3000000,95,R,6,76324,2912606,8624933,11537539,"South Africa, United Kingdom"
Bhoothnath,,2008,,,Not,64,330246,449776,11083019,11532795,India
Doroppu,,2009,,122,,,,,11528993,11528993,Japan
Xue Zhan Xiang Jiang,6,2017,,90,,,,,11510000,11510000,China
Yolki Posledniye,12,2018,,96,,,,,11499494,11499494,Russian Federation
The Sessions,11,2012,1000000,95,R,4,113467,6002451,5492753,11495204,United States
"Nativity 3: Dude, Where's My Donkey?",11,2014,,,,,,,11492347,11492347,United Kingdom
Zhi Wo Men Zhong Jiang Dao Lai De Ai Qing,1,2016,,94,,,,,11487632,11487632,China
Something New,,2006,,99,PG-13,1265,4879736,11468568,15101,11483669,United States
99 francs,6,2008,,,Not,8,30800,79477,11400000,11479477,France
Shigatsu wa kimi no uso,9,2016,,122,,,,,11463297,11463297,Japan
Teen Maar,,2011,,,,,,,11459148,11459148,India
Elegy,,2008,,112,R,6,104168,3577210,7881829,11459039,United States
The Adventure of Afanti,10,2018,,85,,,,,11440000,11440000,China
Perdiendo el norte,3,2015,,104,,,,,11438207,11438207,Spain
Hypnotic,4,2023,,93,R,2118,2401686,4500169,6936502,11436671,United States
Beyond Borders,3,2004,60000000,127,R,1798,2076402,4426297,7000793,11427090,United States
Luis Und Die Aliens,4,2018,,82,PG,,,,11415641,11415641,"Denmark, Germany, Luxembourg"
The Loft,12,2014,,108,R,1841,2747342,6002684,5398834,11401518,United States
Soyuz spaseniya,12,2019,,130,,,,,11401318,11401318,Russian Federation
Thaanaa Serndha Koottam,1,2018,,138,,,,,11383175,11383175,India
Dağ 2,11,2016,,135,,,,,11378898,11378898,Turkey
Backkom Bear: Mars Mission,9,2023,,96,,,,,11367594,11367594,China
Doeorak,12,2018,,102,,,,,11366235,11366235,Republic of Korea
Hui Buh - Das Schlossgespenst,,2006,,,,,,,11361720,11361720,Germany
Shut In,3,2016,10000000,91,R,2058,3613567,6900335,4460330,11360665,United States
Reign of Assassins,8,2012,14000000,117,R,,,,11354230,11354230,"China, Hong Kong, Taiwan, Province of China"
50 Kaime no Fasuto Kisu,6,2018,,114,,,,,11352181,11352181,Japan
Snow Flower and the Secret Fan,4,2012,6000000,102,PG-13,24,134005,1348205,10000000,11348205,"China, United States"
"Hexe Lilli, der Drache und das magische Buch",,2009,,,,,,,11338495,11338495,Germany
La Pazza Gioia,5,2016,,118,Not,2,5799,107362,11219774,11327136,"France, Italy"
Beyaz Melek,,2007,,,,,,,11323769,11323769,Turkey
Water,,2006,3000000,114,PG-13,5,56280,5529144,5793429,11322573,"Canada, India"
Friend Request,1,2016,9900000,92,R,2573,2002863,3759078,7551757,11310835,Germany
Spanish Movie,8,2012,,,,,,,11305452,11305452,Spain
Toni Erdmann,7,2016,,162,R,3,40131,1478960,9822272,11301232,Germany
Die Drei ??? - Erbe des Drachen,1,2023,,,,,,,11300000,11300000,Germany
Toshokan Senso,4,2013,,128,,,,,11294442,11294442,Japan
Arctic Dogs,11,2019,50000000,93,PG,2844,2901335,5801249,5483905,11285154,"Canada, China, India, Japan, Republic of Korea, United Kingdom, United States"
La fille du puisatier,9,2018,,106,Not,,,389651,10894695,11284346,France
Come Un Gatto in Tangenziale,12,2017,,98,,,,,11282642,11282642,Italy
Cìkè Niè Yinniáng,8,2015,15000000,104,Not,4,47892,632542,10647342,11279884,"Taiwan, Province of China"
Les As de la Jungle,7,2017,,97,Not,,,,11277610,11277610,France
Lars and the Real Girl,,2007,12500000,106,PG-13,7,90418,5956480,5320639,11277119,United States
The Florida Project,11,2017,2000000,115,R,4,156833,5904366,5371279,11275645,United States
Qian Ting Zong Dong Yuan: Hai Di Liang Wan Li,6,2018,,75,,,,,11264408,11264408,China
Son of Rambow: A Home Movie,,2008,2000000,95,PG-13,5,53789,1785505,9477758,11263263,"France, United Kingdom"
Manifesto,3,2023,,,,,,,11254796,11254796,China
Straw Dogs,,2011,25000000,110,R,2408,5123760,10324441,929380,11253821,United States
Roving Mars,,2006,,,G,27,412337,10407978,841000,11248978,
Overdrive,6,2017,30000000,93,PG-13,,,,11247280,11247280,"France, United States"
The King’s Case Note,4,2017,,114,Not,,,90899,11155025,11245924,Republic of Korea
Hyde Park on Hudson,1,2013,,94,R,4,81362,6376145,4866293,11242438,United Kingdom
Taxi,5,2015,,82,Not,,,321642,10913305,11234947,Islamic Republic of Iran
Stop-Loss,,2008,25000000,113,R,1291,4555117,10915744,313291,11229035,United States
Ma cosa ci dice il cervello,4,2019,,100,,,,,11227421,11227421,Italy
Before Sunset,8,2004,2000000,80,R,20,219425,5792822,5424524,11217346,"France, United States"
Frances Ha,8,2013,3000000,86,R,4,137398,4067398,7148839,11216237,United States
Yellow Rose,5,2019,,104,,,,,11213147,11213147,China
Unfinished Song,,2013,,93,PG-13,2,25728,1698952,9511765,11210717,"Germany, United States"
La Graine et le Mulet,8,2008,,151,Not,10,79157,203490,11004374,11207864,"France, Tunisia"
Es Por Tu Bien,2,2017,,93,,,,,11202953,11202953,Spain
Assalto ao Banco Central,,2011,,,,,,,11200000,11200000,Brazil
The Squid and the Whale,,2005,1500000,81,R,4,129844,7372734,3818689,11191423,United States
La Tourneuse de Pages,,2007,3400000,,Not,2,18844,208691,10974217,11182908,France
Kiseki: Anohi no sobito,1,2017,,111,,,,,11182550,11182550,Japan
Beau is Afraid,4,2023,35000000,179,R,4,320396,8176562,3001119,11177681,"Canada, United States"
Jab Harry Met Sejal,8,2017,,144,Not,280,1284740,1284740,9891804,11176544,India
Never Let Me Go,7,2012,15000000,120,R,4,111734,2434652,8739066,11173718,United Kingdom
Daeho,12,2015,,139,,,,,11172111,11172111,Republic of Korea
Xin Yong Bu Xiao Shi De Dian Bo,11,2017,,100,,,,,11170000,11170000,China
Fun Size,10,2012,14000000,86,PG-13,3014,4101017,9409538,1757077,11166615,United States
Agnyaathavaasi,1,2018,,158,,,,,11158499,11158499,India
Gringo,3,2018,,110,R,2404,2722420,4969853,6188487,11158340,United States
The Astronaut Farmer,,2007,13000000,104,PG,2155,4454319,11003643,137570,11141213,
The Cooler,5,2004,4000000,101,R,11,128973,8291572,2839883,11131455,United States
Doragon Kuesuto Yua Sutōrī,8,2019,,103,,,,,11114288,11114288,Japan
Zhan Guo,,2011,,125,Not,23,35381,68961,11042800,11111761,China
Samba,4,2014,,119,R,2,24588,151530,10955865,11107395,France
A United Kingdom,10,2016,,111,PG-13,4,66510,3902185,7193835,11096020,United Kingdom
Yuen Loeng Taa 77 Chi,6,2017,,97,,,,,11077852,11077852,Hong Kong
Sisu,1,2023,,91,R,1006,3330891,7265622,3802623,11068245,Finland
L'Ora Legale,1,2017,,92,,,,,11066825,11066825,Italy
Tokyo Tower: Mom and Me and Sometimes Dad,10,2007,,,,,,,11061179,11061179,Japan
Les Saisons,1,2016,,95,PG,,,150092,10903563,11053655,France
Aashiqui 2,4,2013,,140,,,,,11046634,11046634,"India, South Africa"
La Boda de Valentina,2,2018,,107,R,331,1147073,2783739,8261970,11045709,Mexico
Chāo Jí Fēi Xiá Lè Dí Jiā Sù,7,2023,,89,,,,,11029838,11029838,China
Jonah Hex,,2010,47000000,81,PG-13,2825,5379365,10547117,475579,11022696,United States
Salaar: Cease Fire — Part 1,12,2023,,172,,802,5618511,8929282,2077302,11006584,India
Ya Khudeyu,3,2018,,102,,,,,10999308,10999308,Russian Federation
Rapurasu no majo,5,2018,,115,,,,,10973351,10973351,Japan
High & Low The Movie 2 / End of Sky,8,2017,,124,,,,,10956658,10956658,Japan
Corpus Christi,10,2019,1300000,116,Not,1,4632,127240,10824043,10951283,Poland
Black Snake Moan,,2007,15000000,118,R,1252,4143199,9396870,1554283,10951153,United States
Le pacte des loups,6,2001,,142,R,37,100839,10948847,,,"Canada, France"
Àn Shā Fēng Bào,8,2023,,,,,,,10947024,10947024,China
Le brio,11,2017,,95,,,,,10929163,10929163,"Belgium, France"
Senna,,2011,,104,R,2,73497,1612430,9312217,10924647,United Kingdom
Gnome Alone,1,2018,,89,PG,,,,10924451,10924451,"Canada, United States"
Garfield's Pet Force,,2009,,,G,,,,10918505,10918505,United States
Buradeo,10,2017,,102,,,,,10910056,10910056,Republic of Korea
The Darkness,3,2005,4000000,92,PG-13,1755,4950859,10753574,150921,10904495,United States
Kismat Konnection,,2008,,153,Not,62,282122,479759,10424168,10903927,India
Seuwingkizeu,12,2018,,133,Not,15,43952,222001,10681258,10903259,Republic of Korea
At Eternity’s Gate,1,2019,,111,PG-13,4,92855,2294917,8599667,10894584,"France, United Kingdom, United States"
Flying Monsters 3D,,2011,,39,Not,,,5751141,5143082,10894223,United Kingdom
You Were Never Really Here,11,2017,,89,R,3,132829,2523610,8367671,10891281,"France, United Kingdom, United States"
Mia madre,4,2015,,107,R,6,34098,303002,10582814,10885816,"France, Italy"
Himmatwala,3,2013,,,Not,99,197770,270880,10600990,10871870,India
The Courier,12,2019,,97,R,,,,10862201,10862201,"United Kingdom, United States"
Jannat 2,5,2012,,150,R,,,,10858608,10858608,India
The White Crow,3,2019,,127,R,5,78782,1827604,9028017,10855621,"France, United Kingdom"
Extract,,2009,7500000,92,R,1611,4340108,10823158,26000,10849158,United States
Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing,8,2015,,,,,,,10849131,10849131,China
Vai que Cola: O Filme,10,2015,,105,,,,,10845468,10845468,Brazil
Here on Earth,,2000,15000000,96,PG-13,1714,4510705,10494147,350980,10845127,
Where’d You Go Bernadette,8,2019,20000000,104,PG-13,2404,3462308,9198356,1646242,10844598,United States
Xiao shi de xiong shou,11,2015,,120,,,,,10844564,10844564,Hong Kong
The Hole,,2001,7500000,102,,,,,10834406,10834406,United Kingdom
Maya the Bee,9,2014,,87,"G
(Rating",,,,10833134,10833134,"Australia, Germany"
Samyy luchshiy film 3,,2010,,,,,,,10832328,10832328,Russian Federation
Samyy luchshiy den!,12,2015,,112,,,,,10828870,10828870,Russian Federation
Get Low,10,2012,7000000,100,PG-13,4,88182,9176933,1651372,10828305,United States
You Can Count on Me,,2000,1200000,111,R,8,118170,9180275,1647081,10827356,United States
Luo Ke Wang Guo 4,8,2015,,,,,,,10820000,10820000,China
Away From Her,,2007,,110,PG-13,4,53267,4548331,6239159,10787490,
Saja,7,2019,,129,Not,23,43863,102982,10673135,10776117,Republic of Korea
The Night Listener,,2006,4000000,81,R,1367,3554134,7836393,2934600,10770993,United States
We Need to Talk About Kevin,1,2012,7000000,112,R,1,24587,1738692,9026591,10765283,"United Kingdom, United States"
Prom,,2011,8000000,103,PG,2730,4712638,10130219,632964,10763183,United States
Villaviciosa de al lado,12,2016,,90,,,,,10739182,10739182,Spain
Mister Felicità,1,2017,,90,,,,,10739001,10739001,Italy
Ajin,9,2017,,109,,,,,10735896,10735896,Japan
Not Easily Broken,,2009,5000000,100,PG-13,724,5314278,10572742,160167,10732909,United States
Yolki 1914,12,2014,,106,,,,,10727769,10727769,Russian Federation
Paterson,11,2016,5000000,118,R,4,69335,2141423,8586113,10727536,United States
Love Again,5,2023,,104,PG-13,2703,2380962,6230837,4495195,10726032,United States
Golden Slumber,2,2018,,108,Not,,,,10723414,10723414,Republic of Korea
The Killing of a Sacred Deer,10,2017,,109,R,4,115120,2291900,8416845,10708745,"Ireland, United Kingdom, United States"
Make It Happen,,2008,,,,,,,10688486,10688486,United States
Mogura no uta: Hong Kong kyôsô-kyoku,12,2016,,128,,,,,10677009,10677009,Japan
Moon,11,2020,5000000,97,R,8,136046,5010163,5665910,10676073,United Kingdom
Ghost Dog: The Way of the Samurai,8,2023,2000000,116,R,14,166344,3330230,7342262,10672492,
Shinjuku suwan,5,2015,,139,,,,,10662923,10662923,
Rab Ne Bana Di Jodi,,2008,,167,Not,83,920994,2074346,8585000,10659346,India
Di san zhong ai qing,9,2015,,113,,,,,10659259,10659259,China
Xie Mi Xing Zhe,6,2018,,90,,,,,10657326,10657326,"China, Hong Kong"
The Machine,5,2023,20000000,112,R,2409,5000545,10458331,198605,10656936,United States
De père en flic,7,2009,,107,Not,,,10644453,,,Canada
The Savages,,2007,9000000,114,R,4,151859,6623082,4018941,10642023,United States
Ookami shoujo to kuro ouji,5,2016,,116,,,,,10639039,10639039,Japan
A Dirty Carnival,,2006,,141,,,,,10638098,10638098,
The Apparition,8,2012,17000000,82,PG-13,810,2841488,4936819,5700462,10637281,United States
The Boondock Saints 2: All Saints Day,,2009,8000000,90,R,68,546687,10273187,356133,10629320,United States
Tengoku de kimi ni aetara,,2007,,,,,,,10625731,10625731,Japan
The Virgin Suicides,1,2021,6000000,97,R,18,235122,4859475,5760295,10619770,"Canada, United States"
Populaire,11,2012,,101,R,16,,179091,10438198,10617289,France
Pek Yakinda,10,2014,,134,,,,,10611890,10611890,Turkey
Jexi,10,2019,5000000,84,R,2332,3106730,6546159,4054968,10601127,United States
Le Week-End,10,2013,,93,R,3,43608,2225098,8374932,10600030,"France, United Kingdom"
Benedetta Follia,1,2018,,109,,,,,10599900,10599900,Italy
Kabadayi,,2007,,,,,,,10599297,10599297,Turkey
The Great Raid,,2005,60000000,132,R,819,3376009,10166502,430568,10597070,"Australia, United States"
Alone in the Dark,,2005,20000000,96,R,2124,2834421,5178569,5409510,10588079,
Polityka,9,2019,,134,,,,,10586482,10586482,Poland
Cha-i-na-ta-un,5,2015,,110,,,,,10582907,10582907,Republic of Korea
Alceste a bicyclette,1,2013,,104,Not,18,33071,385165,10183850,10569015,France
Looking for Eric,,2010,,,Not,2,6743,55804,10504168,10559972,"Belgium, France, Italy, Spain, United Kingdom"
Pollock,,2000,6000000,122,R,2,44244,8596914,1960377,10557291,United States
The Promise,4,2017,90000000,134,PG-13,2251,4095718,8224288,2327129,10551417,"Spain, United States"
Moms’ Night Out,,2014,5000000,97,PG,1044,4311083,10429707,107634,10537341,United States
Les Tuche,,2010,,95,,,,,10537035,10537035,France
Crayon Shin-chan 16,,2008,,,,,,,10536987,10536987,Japan
Love in Space,,2011,,103,PG,15,13795,33976,10485987,10519963,"Australia, China"
Deo Pon,10,2015,,115,,,,,10510802,10510802,Republic of Korea
Gosaigyô no Onna,8,2016,,127,,,,,10504345,10504345,Japan
Até que a Sorte nos Separe 3: A Falência Final,12,2015,,106,,,,,10502937,10502937,Brazil
Baadshaho,9,2017,,124,,,,,10497601,10497601,India
LOL,,2012,11000000,97,PG-13,105,46000,46000,10431506,10477506,United States
The Collector,11,2012,3000000,89,R,1325,3576296,7712114,2761722,10473836,United States
Teri Meri Kahaani,6,2012,,120,Not,94,405926,671442,9800286,10471728,India
Steamboy,10,2004,20000000,,PG-13,39,136148,468867,10000000,10468867,
On-Drakon,12,2015,,,,,,,10453051,10453051,Russian Federation
No Longer Human,9,2019,,122,,,,,10452114,10452114,Japan
Dangerous Liaisons,,2012,24200000,110,Not,6,17000,17000,10430579,10447579,China
Yo-kai Watch Movie 5: Forever Friends,12,2018,,100,,,,,10441722,10441722,Japan
Lyubov v bolshom gorode,,2009,,,,,,,10439457,10439457,"Russian Federation, Ukraine, United States"
Kolovrat,12,2017,,117,,,,,10424668,10424668,Russian Federation
First Daughter,2,2005,30000000,106,PG,2260,4002067,9055010,1364074,10419084,
Inishiêshon rabu,5,2015,,110,,,,,10416510,10416510,Japan
Kurosaki-kun no iinari ni nante naranai,2,2016,,93,,,,,10415892,10415892,Japan
Sex Drive,,2008,19000000,101,R,2421,3607164,8402485,2010000,10412485,United States
Head Over Heels,,2001,14000000,,PG-13,2338,4804595,10397365,,,
The Man,,2005,20000000,78,PG-13,2040,4065014,8330720,2062976,10393696,United States
Jeonseolui Joomeok,,2013,,153,Not,23,49252,134213,10254567,10388780,Republic of Korea
Alienoid: The Return to the Future,1,2024,,122,,29,27972,60720,10327195,10387915,Republic of Korea
The Perfect Score,,2004,,93,PG-13,2208,4873819,10387706,,,United States
All is Lost,11,2013,8500000,107,PG-13,6,93583,6263670,4123144,10386814,United States
Kin,8,2018,30000000,102,PG-13,2141,3035618,5718096,4665428,10383524,United States
High Society,9,2017,,100,,,,,10382876,10382876,Germany
Long Xia Xing Jing,6,2018,,90,Not,12,35015,85172,10295882,10381054,China
Deep,5,2017,,92,PG,,,,10371885,10371885,"Belgium, Spain, United States"
Town & Country,,2001,105000000,,R,2222,3029858,6712451,3652318,10364769,
The Bookshop,11,2017,,113,PG,4,45348,1588150,8765338,10353488,"Germany, Spain, United Kingdom"
Oddball,9,2015,7000000,95,Not,,,,10338919,10338919,Australia
Satyagraha,,2013,,146,Not,83,412148,738525,9591353,10329878,India
Niàn Niàn Xiāng Wàng,8,2023,,108,,,,,10324663,10324663,China
25 km/h,10,2018,,116,,,,,10323404,10323404,Germany
Hide and Seek,11,2016,,105,,,,,10315084,10315084,China
Galaxy Kaidô,10,2015,,110,,,,,10291672,10291672,Japan
Lubov Morkov,,2007,,100,,,,,10291446,10291446,Russian Federation
Dog Days,8,2018,10000000,113,PG,2442,2554766,6809080,3481751,10290831,United States
Kamen Raidâ Heisei Jenerêshonzu Fainaru: Birudo ando Eguzeido wizu Rejendo Raidâ,12,2017,,91,,,,,10289397,10289397,Japan
Gui Mi 2,3,2018,,138,Not,4,15044,37115,10244720,10281835,"China, Hong Kong"
The Miracle Season,,2018,,99,PG,1707,3950652,10230620,49035,10279655,United States
The Best of Enemies,6,2019,10000000,133,PG-13,1705,4446190,10205616,63133,10268749,United States
Jam,9,2023,,,,,,,10259959,10259959,Republic of Korea
Bis,2,2015,,98,,,,,10252908,10252908,France
Ma vie de Courgette,6,2016,8000000,66,PG-13,2,28472,309768,9935975,10245743,"France, Switzerland"
Facing the Giants,,2006,100000,,PG,441,1343537,10178331,64828,10243159,United States
Yokokuhan,6,2015,,119,,,,,10238535,10238535,Japan
Fan Zhuan Ren Sheng,6,2017,,110,,,,,10238078,10238078,China
Mao Yu Tao Hua Yuan,4,2018,,105,PG,,,,10231916,10231916,China
In the Mix,,2005,,95,PG-13,1608,4448491,10223896,,,United States
Nian Nian You Ai,2,2015,,120,,,,,10220378,10220378,China
Kuang Shou,11,2017,,90,Not,,,,10217493,10217493,Hong Kong
Snabba Cash,,2012,4300000,119,R,2,24684,188870,10023533,10212403,United States
Naui Teukbyeolhan Hyungje,5,2019,,114,,,,,10207898,10207898,Republic of Korea
Saved!,10,2004,5000000,92,PG-13,20,345136,8886160,1320391,10206551,United States
Sekai kara neko ga kietanara,5,2016,,103,,,,,10203996,10203996,Japan
The Two Faces of January,5,2014,,98,PG-13,6,43116,507463,9693877,10201340,United Kingdom
Meu Passado Me Condena 2,7,2015,,105,,,,,10198232,10198232,Brazil
Ženy v běhu,1,2019,,93,,,,,10193358,10193358,Czech Republic
Woman on Top,,2000,8000000,,R,1085,2008191,5018450,5174163,10192613,
Late Night with the Devil,8,2023,,92,R,1034,2834867,9320798,868446,10189244,Australia
Flowers in the Shadow,,2008,,129,,,,,10188284,10188284,Japan
Du La La Sheng Zhi Ji 2,12,2015,,101,,,,,10187121,10187121,China
P2,,2007,,98,R,2131,2083398,6348315,3838353,10186668,United States
The Perfect Match,,2016,5000000,91,R,925,4294232,9669521,512529,10182050,United States
Next Day Air,,2009,3000000,84,R,1138,4111043,10027047,145472,10172519,United States
Klassentreffen,9,2018,,127,,,,,10166333,10166333,Germany
