movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Kissing Jessica Stein,,2002,1500000,,R,26,346999,7025722,2319339,9345061,United States
Tri bogatyrya i Naslednitsa prestola,12,2018,,90,,,,,9343851,9343851,Russian Federation
Salvando al Soldado Perez,,2011,4500000,82,PG-13,161,664517,1400726,7929739,9330465,Mexico
Special Citizen,4,2017,,126,Not,29,47128,96777,9226275,9323052,Republic of Korea
Il 7 e l'8,,2007,,90,,,,,9321290,9321290,Italy
On the Road,5,2012,25000000,125,R,4,39550,720828,8592474,9313302,"Brazil, France"
Open Season 3,,2011,,,PG,,,,9312631,9312631,United States
Jangsanbeom,7,2017,,100,,,,,9312084,9312084,Republic of Korea
La nouvelle guerre des boutons,,2012,,99,Not,5,4737,45602,9263952,9309554,France
Peeples,,2013,11000000,95,PG-13,2041,4611534,9177065,130101,9307166,United States
Black House,,2007,,104,,,,,9306547,9306547,Republic of Korea
Serbuan maut,3,2012,1100000,100,R,14,213785,4105123,5192284,9297407,Indonesia
Red Shoes and the Seven Dwarfs,7,2019,,92,PG,,,,9293111,9293111,Republic of Korea
Salaam Namaste,,2005,,,Not,63,504897,1411065,7876656,9287721,India
Danny Collins,3,2015,10000000,106,R,5,72459,5637066,3634759,9271825,United States
Me and Earl and the Dying Girl,9,2015,8000000,105,PG-13,15,196496,6758416,2507764,9266180,United States
Denial,11,2016,10000000,110,PG-13,5,93728,4073448,5190492,9263940,United Kingdom
Sztuka kochania. Historia Michaliny Wislockiej,1,2017,1300000,,,,,,9261982,9261982,Poland
Le nom des gens,,2011,4600000,95,R,5,30372,514237,8747474,9261711,France
C'est quoi cette mamie?!,8,2019,,99,,,,,9254602,9254602,"Belgium, France"
Les Innocentes,2,2016,6200000,115,PG-13,3,30896,1065665,8183477,9249142,"France, Poland"
Revenge for Love,2,2017,,,,,,,9242543,9242543,China
Ailecek Şaşkınız,3,2018,,113,,,,,9231581,9231581,Turkey
A bout portant,,2011,,84,R,6,41031,708215,8521942,9230157,France
House Party,1,2023,,110,R,1400,3985882,9011251,202484,9213735,United States
Everybody's Fine,,2009,20000000,100,PG-13,2133,3852068,9208876,,,United States
Ng goh siu hai dik hau jeung,3,2015,,112,,,,,9208180,9208180,Hong Kong
Mon meilleur ami,,2007,,94,PG-13,3,45246,1422461,7783474,9205935,France
À bras ouverts,4,2017,,92,,,,,9201795,9201795,"Belgium, France"
Çalgi Çengi Ikimiz,1,2016,,116,,,,,9201138,9201138,Turkey
Deux jours à tuer,,2008,,,,,,,9196127,9196127,France
Dukhless 2,3,2015,,103,,,,,9194350,9194350,Russian Federation
The Last Women Standing,11,2015,,96,Not,17,73344,163406,9027962,9191368,"China, Hong Kong"
Mid90s,2,2019,2800000,85,R,4,258157,7362439,1824464,9186903,United States
State and Main,,2000,,105,R,72,580163,6920692,2261808,9182500,"France, United States"
La promesse de l'aube,12,2017,,131,,,,,9180852,9180852,France
Chiadan: Joshi kousei ga chiadansu de zenbei seihashichatta honto no hanashi,3,2017,,121,,,,,9170294,9170294,Japan
La befana vien di notte,12,2018,,98,,,,,9166973,9166973,"Italy, Spain"
Vier Gegen die Bank,12,2016,,96,,,,,9165727,9165727,Germany
Planeta Singli 2,11,2018,,119,,,,,9164918,9164918,Poland
